Date : 2026-07-29 12:45:45
Directory : c:\Users\HP\Documents\Courses\react.js\trendy-blog\src
Total : 149 files,  10932 codes, 476 comments, 1457 blanks, all 12865 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        133 |      8,098 |        386 |        984 |      9,468 |
| PostCSS    |         15 |      2,833 |         90 |        473 |      3,396 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        149 |     10,932 |        476 |      1,457 |     12,865 |
| . (Files)                                                                                                 |          5 |        136 |          5 |         20 |        161 |
| components                                                                                                |         38 |      4,420 |        251 |        515 |      5,186 |
| components\auth                                                                                           |          4 |        719 |        149 |        106 |        974 |
| components\auth (Files)                                                                                   |          2 |        335 |          1 |         37 |        373 |
| components\auth\sign in                                                                                   |          2 |        384 |        148 |         69 |        601 |
| components\feedback form                                                                                  |          1 |        411 |          0 |         22 |        433 |
| components\navbar                                                                                         |          2 |         72 |          0 |         13 |         85 |
| components\notifications                                                                                  |          2 |        118 |          0 |         16 |        134 |
| components\onboarding                                                                                     |          1 |         23 |          0 |          6 |         29 |
| components\post                                                                                           |          5 |      1,117 |         55 |        165 |      1,337 |
| components\settings                                                                                       |          9 |      1,236 |         23 |        105 |      1,364 |
| components\sidebar                                                                                        |          4 |        179 |          0 |         23 |        202 |
| components\ui                                                                                             |         10 |        545 |         24 |         59 |        628 |
| components\ui (Files)                                                                                     |          5 |        292 |         24 |         31 |        347 |
| components\ui\primary                                                                                     |          1 |         34 |          0 |          5 |         39 |
| components\ui\search                                                                                      |          2 |        106 |          0 |         13 |        119 |
| components\ui\switch                                                                                      |          1 |         64 |          0 |          4 |         68 |
| components\ui\theme                                                                                       |          1 |         49 |          0 |          6 |         55 |
| data                                                                                                      |          3 |        143 |         35 |         10 |        188 |
| hooks                                                                                                     |         11 |        535 |          2 |        143 |        680 |
| hooks (Files)                                                                                             |          4 |         62 |          0 |         22 |         84 |
| hooks\db                                                                                                  |          7 |        473 |          2 |        121 |        596 |
| icons                                                                                                     |         61 |        973 |          0 |        117 |      1,090 |
| icons (Files)                                                                                             |         41 |        646 |          0 |         80 |        726 |
| icons\NavIcons                                                                                            |         16 |        263 |          0 |         29 |        292 |
| icons\stats-icons                                                                                         |          4 |         64 |          0 |          8 |         72 |
| lib                                                                                                       |          1 |          6 |          0 |          3 |          9 |
| pages                                                                                                     |         24 |      4,468 |        173 |        604 |      5,245 |
| pages\Auth                                                                                                |          2 |        170 |          0 |         28 |        198 |
| pages\app                                                                                                 |         15 |      2,491 |        109 |        335 |      2,935 |
| pages\app\NewPost                                                                                         |          2 |        483 |         56 |         64 |        603 |
| pages\app\PostPage                                                                                        |          2 |        675 |         32 |        101 |        808 |
| pages\app\ProfilePage                                                                                     |          2 |        473 |          5 |         70 |        548 |
| pages\app\Settings                                                                                        |          2 |        166 |          0 |         19 |        185 |
| pages\app\bookmarksPage                                                                                   |          1 |        243 |          0 |         14 |        257 |
| pages\app\category-page                                                                                   |          1 |         18 |          0 |          4 |         22 |
| pages\app\draftsPage                                                                                      |          1 |         68 |          0 |          9 |         77 |
| pages\app\feed                                                                                            |          1 |         87 |          1 |         13 |        101 |
| pages\app\notifications-page                                                                              |          1 |        124 |          0 |         14 |        138 |
| pages\app\statsPage                                                                                       |          1 |        136 |         15 |         23 |        174 |
| pages\app\trending-page                                                                                   |          1 |         18 |          0 |          4 |         22 |
| pages\landing page                                                                                        |          2 |      1,485 |         57 |        186 |      1,728 |
| pages\layout                                                                                              |          2 |        262 |          7 |         44 |        313 |
| pages\missing                                                                                             |          1 |         39 |          0 |          6 |         45 |
| pages\search result                                                                                       |          2 |         21 |          0 |          5 |         26 |
| store                                                                                                     |          1 |        144 |          0 |          8 |        152 |
| utils                                                                                                     |          5 |        107 |         10 |         37 |        154 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\App.css                                            | PostCSS    |         34 |          5 |          7 |         46 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\App.js                                             | JavaScript |         42 |          0 |          4 |         46 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\auth\recover-password.js                | JavaScript |        180 |          1 |         18 |        199 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\auth\set-name.js                        | JavaScript |        155 |          0 |         19 |        174 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\auth\sign in\SignIn.css                 | PostCSS    |        169 |         63 |         34 |        266 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\auth\sign in\SignIn.js                  | JavaScript |        215 |         85 |         35 |        335 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\feedback form\feedback-form.js          | JavaScript |        411 |          0 |         22 |        433 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\navbar\Nav.css                          | PostCSS    |         45 |          0 |          7 |         52 |
